Equipment_Record_ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
EQR-7849453C14,L,298.3,309.8,1761,28.5,43
EQR-47ECC9EC07,L,300.2,310.8,1734,27.8,79
EQR-29DF26EC3D,L,298.7,309.3,1496,45.1,60
EQR-40C6F41532,L,301.0,311.6,1661,32.8,0
EQR-AF1967143B,L,297.2,308.4,1337,51.1,175
EQR-1A824957F9,L,299.7,309.6,1606,34.6,62
EQR-6C86CE3D59,M,299.2,309.3,1452,49.0,201
EQR-B8CD481EB7,L,298.8,310.1,1428,42.9,189
EQR-5870DF1B2B,L,301.5,310.9,1627,35.5,111
EQR-298960138D,H,299.3,309.5,1322,52.4,218
EQR-1C720A5A3A,H,300.0,309.0,1319,63.7,123
EQR-E0EED15B5E,M,299.2,308.6,1854,24.1,10
EQR-6D98BDA34C,M,298.5,308.4,1258,59.7,22
EQR-59D2217125,L,299.0,308.8,1441,46.4,85
EQR-41C186F918,M,298.1,309.5,1377,52.6,207
EQR-EC08D1BC34,L,302.1,311.0,1580,40.6,29
EQR-BAA397B493,L,304.0,313.4,1473,48.5,210
EQR-F909ACFDA2,L,300.1,309.0,1575,36.6,160
EQR-57E2091E8C,H,304.3,313.5,1868,29.7,126
EQR-1CDAB35B04,M,301.2,311.1,1570,32.3,109
EQR-4BC7540A70,L,300.3,310.7,1584,43.3,131
EQR-99D6C6CD0A,L,298.1,308.5,1540,41.3,80
EQR-4925AF98D0,L,301.5,311.0,1438,45.0,214
EQR-1764C58B67,M,300.2,311.2,1353,53.8,80
EQR-DD49F394A1,H,299.0,310.3,1565,43.9,124
EQR-9F0B389E0A,H,298.6,309.0,1542,26.2,134
EQR-FE10A06472,M,302.1,310.5,1612,37.2,53
EQR-525D405587,L,299.6,309.9,1488,41.6,86
EQR-5B82B2AFF5,L,297.5,309.4,1364,50.4,191
EQR-E5D203DB59,M,301.3,310.9,1492,39.1,155
EQR-C4B9F4CE57,L,302.2,313.4,1496,42.9,31
EQR-86A733C03C,M,300.7,310.4,1418,45.0,45
EQR-EB1AC4D942,L,299.3,309.8,1568,35.0,203
EQR-1DF07B5999,L,302.9,310.6,1480,36.0,134
EQR-7D74FCED5E,M,301.5,310.8,1425,44.9,181
EQR-EB42FA7FC7,L,297.4,309.5,1398,47.9,55
EQR-FFCCCCAF72,H,302.1,310.8,1294,56.8,49
EQR-CF721A51D6,L,300.1,310.2,1602,30.8,133
EQR-DD9BE7DA9E,L,300.1,310.6,1641,40.6,214
EQR-2E1B215E57,L,297.4,308.5,1851,23.6,136
EQR-22EE3840ED,M,300.6,310.2,1586,32.2,140
EQR-6EA8ECCF6A,H,303.7,313.2,1345,53.9,32
EQR-7678756931,H,298.8,308.9,1496,44.4,137
EQR-5EE84089A9,L,302.2,311.5,1381,46.2,2
EQR-930D06EA15,L,298.3,309.6,1477,38.1,35
EQR-463B37F156,L,300.8,310.9,1352,51.6,206
EQR-2F4DB1C98F,L,300.7,310.4,2449,15.0,124
EQR-E947FB1F66,L,300.4,309.0,1587,34.7,33
EQR-9AA4607114,L,301.7,311.0,1212,66.3,205
EQR-2BD201BBC8,L,301.1,311.6,1330,53.0,169
EQR-3441E1F693,M,298.2,309.2,1331,60.6,104
EQR-0AE4DD5153,M,300.2,311.1,1639,32.7,52
EQR-0481BECCE8,L,298.1,308.9,1553,32.9,215
EQR-89067A841E,L,300.9,311.0,1985,18.1,216
EQR-30E1FECBD0,M,298.8,308.5,1538,41.8,79
EQR-9144CF8716,M,298.4,308.6,1584,32.1,62
EQR-A4ED1C35F9,L,304.0,312.9,1692,28.8,159
EQR-CB6FB06337,L,299.0,309.9,1514,35.0,2
EQR-6D57624BA8,M,299.5,310.6,2271,14.2,135
EQR-D4305C6AFC,L,297.4,307.8,1390,47.9,100
EQR-6AD6A222AF,L,301.1,311.4,1585,44.8,13
EQR-A62E0A2861,L,297.3,307.9,1723,32.9,37
EQR-2CAD65D42B,L,297.4,308.4,1362,54.2,6
EQR-E3E906EFBE,M,298.3,308.7,1589,32.7,48
EQR-CE9EB25A42,L,298.9,309.4,1418,55.5,179
EQR-4C58C5C29A,M,296.7,307.6,1495,49.0,75
EQR-5CC108A8D4,L,298.2,309.1,1483,43.9,123
EQR-5D01D3F033,L,298.0,309.5,1603,32.5,118
EQR-6D9F78AB1C,L,301.6,310.0,1578,27.9,137
EQR-DE9BA0C08D,M,301.5,310.8,1763,28.8,23
EQR-A767B652DE,M,298.2,309.8,1413,43.4,11
EQR-9885EE9B47,H,300.7,310.1,1330,57.9,47
EQR-776188A5D7,H,301.5,311.5,1537,36.6,71
EQR-0A2D22D8B7,L,302.6,312.3,1293,65.7,125
EQR-A6C0AE6B91,M,300.4,310.1,1861,22.3,112
EQR-DA4BBCE74D,L,299.4,309.3,1432,46.4,125
EQR-C7B1D12E53,L,295.7,306.1,1694,26.3,78
EQR-3D494E9A31,L,297.2,307.6,1572,37.4,163
EQR-432EBA3E00,M,301.7,310.8,1479,37.7,189
EQR-B71380CA51,L,297.1,307.2,1707,31.9,162
EQR-22E64F60C3,M,297.9,308.7,1582,40.0,48
EQR-6E812AA3F8,L,299.2,310.2,1364,54.8,5
EQR-835AEFD195,L,303.7,312.1,1654,32.9,37
EQR-4D6CFE23BE,L,296.9,307.6,1596,36.0,84
EQR-C67D469362,L,300.0,309.4,1504,39.9,45
EQR-01DE7FE28A,L,301.7,310.5,1540,41.2,55
EQR-B2A7F7E18F,L,302.7,312.1,1965,23.8,132
EQR-61447671A6,M,299.0,309.2,1577,34.4,218
EQR-8A909C7361,M,300.9,310.1,1455,46.7,76
EQR-45C69008ED,L,300.5,311.3,1497,41.7,59
EQR-C58535CD6D,L,303.3,311.2,1665,36.9,51
EQR-1A6D3676AE,H,300.4,311.7,1532,39.2,79
EQR-0C805A460B,M,301.1,310.2,1532,36.2,174
EQR-6345F8F7CC,L,298.1,309.0,1640,34.4,110
EQR-40FED6061B,M,297.4,307.6,1506,42.3,226
EQR-EB0A4AC3F1,L,299.7,308.7,1312,53.6,200
EQR-5A7D2FAB97,H,300.6,311.1,1474,45.8,116
EQR-2B1BE39C9C,L,297.7,308.0,1402,47.7,124
EQR-B65107DAF7,M,301.9,311.7,1279,62.1,31
EQR-F82D3913A5,L,300.9,311.8,1353,52.3,35
EQR-13F35409EE,L,300.7,311.7,1592,29.3,201
EQR-FD15A4EE68,L,300.4,309.3,1796,23.9,17
EQR-64DAC1C157,M,302.4,311.7,1455,45.5,136
EQR-1276B9D0B3,H,299.0,309.8,1580,38.2,105
EQR-1A1B44FE2B,L,298.9,310.8,1521,38.1,21
EQR-B039875452,L,297.2,306.5,1627,35.2,202
EQR-87D16EBC08,H,300.4,309.6,1428,44.6,27
EQR-3F785460AF,H,300.5,310.7,1512,41.8,135
EQR-CA844EFAF7,L,303.4,311.1,1699,32.5,40
EQR-CF0CE814C3,M,297.5,308.5,1503,35.4,119
EQR-425B5AC09F,L,298.8,307.9,1555,39.2,194
EQR-F7FCAB13F1,H,298.5,310.0,1530,37.3,196
EQR-0DFCA6C159,L,300.3,309.8,1409,46.4,48
EQR-223C6B075F,M,298.7,309.5,1450,46.6,150
EQR-0D3C96A54D,H,300.7,308.4,1540,31.5,218
EQR-9D7DA26F6D,L,297.5,309.3,1463,41.8,207
EQR-521F8423B7,M,299.0,308.5,1413,50.1,109
EQR-D8ABE6B58B,M,299.6,310.7,1521,44.5,119
EQR-AC6AB65673,L,300.5,310.9,1641,28.4,190
EQR-2EDE011DA3,H,299.7,309.2,1877,21.4,32
EQR-178EE2A41E,L,300.8,310.9,2695,16.3,156
EQR-A51329DA27,L,298.9,309.7,1393,45.7,45
EQR-E7D2532FA0,L,300.7,310.6,1451,45.7,94
EQR-F785EDBFDF,L,297.9,307.6,1760,30.8,74
EQR-354149250B,M,300.1,310.4,1673,33.3,128
EQR-955045B2CA,M,298.4,308.3,1630,39.7,70
EQR-B670A013A1,L,302.0,310.7,1389,54.2,228
EQR-161D256054,M,303.7,312.4,1477,39.9,38
EQR-36B6CEE170,H,299.0,309.9,2194,17.8,15
EQR-2A3FD383D9,L,299.2,308.3,1596,35.7,35
EQR-87F0E830EA,L,301.1,310.2,1856,34.1,199
EQR-E6F9A6FBA4,M,301.7,311.8,1468,36.2,139
EQR-EA170713E5,H,304.0,313.3,1536,38.1,98
EQR-862BF0D958,L,299.9,309.6,1824,24.3,158
EQR-FC04BE0F9D,L,298.6,308.7,1550,39.2,119
EQR-8628F3BBFA,M,297.5,309.2,1530,40.4,150
EQR-A9D353192E,H,302.3,312.5,1389,50.1,76
EQR-B76483BE8E,H,302.6,311.0,1680,39.9,123
EQR-FB50AF95B9,M,302.4,310.6,1477,36.3,185
EQR-E458ADEBA7,L,298.8,310.1,1489,46.6,231
EQR-9C17EE9013,L,300.2,310.3,1509,36.7,59
EQR-B11F1195D2,L,301.8,311.4,1428,49.6,84
EQR-2BADCD463D,H,298.4,307.8,1520,32.6,11
EQR-01CD5ED353,L,299.0,311.2,1545,38.8,48
EQR-8784372F0A,L,300.4,310.1,1532,39.4,99
EQR-69954BE10D,L,303.1,313.0,1609,38.7,51
EQR-B3D04BB8A8,M,299.3,311.0,1705,34.2,26
EQR-3BEADE28C5,M,298.0,308.6,1393,50.6,147
EQR-01CF2CE214,L,302.6,311.1,1756,33.0,91
EQR-7B3F22AF03,M,298.9,309.1,1450,49.9,89
EQR-7186CD66BF,L,299.2,307.9,1466,44.2,112
EQR-E272630C5F,H,298.1,308.6,1413,45.7,188
EQR-16BB725A0D,L,302.0,311.6,1500,41.5,209
EQR-C1A1FAC09B,L,298.0,308.6,1507,36.1,109
EQR-75DC5DFED8,M,295.3,306.0,1430,45.4,197
EQR-C4B5BFAB9E,M,301.2,311.9,1386,46.3,70
EQR-D3CC5CD8C2,L,302.2,311.7,1524,38.8,83
EQR-1B6ACC6D15,M,297.7,308.6,1815,15.3,120
EQR-0B701F9F16,L,298.6,309.0,1433,48.0,204
EQR-53707FE760,L,298.8,311.5,1426,42.4,137
EQR-5D4683994D,L,300.5,311.1,1427,45.2,193
EQR-B1F3BA49FC,L,298.7,309.8,1758,28.3,99
EQR-5AB7F65A97,M,297.4,308.8,1290,55.0,28
EQR-56F8794B3E,M,299.7,309.2,1662,36.4,182
EQR-035994F4B6,L,298.6,308.5,1552,35.5,4
EQR-52E3C6E118,L,301.5,310.5,1566,36.3,55
EQR-1A245B055C,L,298.0,309.2,1413,45.5,32
EQR-185265D038,L,298.7,309.1,1506,36.6,29
EQR-E6A6B61573,L,298.4,308.7,1579,41.1,156
EQR-997DF1BC35,M,302.3,311.3,1629,36.4,7
EQR-DD682D4F32,L,300.8,311.2,1434,47.0,58
EQR-183EC3C1E0,L,297.5,308.3,1573,28.6,141
EQR-D5A0DF3300,L,300.7,309.6,1437,47.9,124
EQR-CF21F974FE,M,300.8,310.2,1415,52.1,207
EQR-C18BCD4ED9,L,300.3,311.5,1906,23.4,128
EQR-C43267AD39,L,301.3,310.2,1667,30.0,57
EQR-A1781A19B3,L,303.6,311.4,1435,51.3,40
EQR-2862022863,L,301.2,309.7,1561,40.6,128
EQR-C0C6FB3054,L,297.5,309.8,1514,35.0,72
EQR-72AAA21C67,L,297.2,307.5,1557,40.2,141
EQR-BC0455D5D1,L,295.8,308.0,1468,46.8,35
EQR-83315A2038,M,301.8,311.7,2179,19.7,188
EQR-D16BF624F6,H,304.0,313.4,1600,41.0,64
EQR-E2844D3795,L,302.6,310.7,1414,47.2,202
EQR-8196D39360,M,301.4,310.9,1763,31.5,141
EQR-D9EDC8C88B,L,301.7,310.7,1566,37.5,208
EQR-D0152872A5,L,298.4,309.1,1611,29.3,114
EQR-F9B4E65915,L,303.8,313.6,1566,32.8,75
EQR-7DE14D0F2C,L,297.4,308.0,1348,50.6,81
EQR-0EC259CFCC,L,298.6,308.8,1345,45.9,30
EQR-636768C38A,L,302.6,311.4,1972,26.9,20
EQR-688C0018B2,L,299.4,309.8,1614,34.3,80
EQR-9820422E77,L,300.7,310.6,1924,27.5,33
EQR-D70BBC7CC2,L,300.5,310.5,1571,31.0,135
EQR-A31AE0FB04,M,298.0,309.0,2130,21.6,42
EQR-C4032700FC,L,301.3,310.9,1532,35.3,139
EQR-DA99304BF6,L,300.2,310.7,1617,33.1,63
EQR-BDFC9115AB,L,300.4,310.2,1424,39.0,3
EQR-654F08863F,L,303.4,311.4,1333,49.7,68
EQR-BAA1987D18,M,304.2,312.6,1547,37.5,77
EQR-FB6C29C2A5,H,298.2,308.4,1359,51.8,60
EQR-0B6D186846,L,299.1,309.2,1505,35.0,108
EQR-3E64963A09,M,300.4,311.4,1469,45.8,197
EQR-76C774027F,M,302.4,311.0,1314,57.8,123
EQR-59A394F44B,L,300.1,309.4,1366,49.9,60
EQR-485D5122C1,M,302.1,311.6,1675,35.6,187
EQR-B3FA1EB3E5,H,300.9,311.0,1464,35.4,114
EQR-39E3B5674A,L,295.6,305.9,1304,61.4,130
EQR-4211B6256C,H,298.6,308.5,1274,53.8,156
EQR-00E6077AF0,L,298.3,308.7,1460,44.5,13
EQR-D147480EEA,M,299.6,309.0,1641,30.2,198
EQR-262C5E468E,M,300.8,309.6,1440,46.6,111
EQR-1B4DFB24A8,L,298.9,309.5,1451,46.3,144
EQR-219D05CFB0,M,297.3,307.7,1549,34.4,173
EQR-FD598A2359,L,297.3,308.7,1361,49.1,146
EQR-D7A35CA4CA,M,301.5,310.9,1491,31.8,39
EQR-3CD3455F87,M,298.7,308.8,1679,30.8,91
EQR-C855D57888,L,298.9,310.0,1346,55.2,32
EQR-6F19FBDAF2,L,300.2,309.4,1595,32.8,52
EQR-B7EAD0D4D6,L,301.6,311.2,1368,49.8,136
EQR-4D6B5EF8F5,M,298.7,309.4,1585,37.7,36
EQR-28FC88F673,L,303.1,311.3,1428,48.1,13
EQR-AE582F5862,M,298.1,308.4,1496,40.6,62
EQR-501E7A0892,L,302.4,312.2,1379,48.7,221
EQR-6E9429EE34,L,301.5,309.9,1360,45.4,172
EQR-7783E4633A,L,298.1,309.2,1693,32.8,137
EQR-3AEF500158,H,300.5,310.9,1413,43.1,204
EQR-B8000E289F,M,297.2,308.7,1730,27.1,192
EQR-755263774E,M,301.4,311.2,1417,43.7,136
EQR-CA189477D1,L,298.4,309.6,1359,50.8,5
EQR-C195047BF1,L,298.5,309.0,1542,39.4,29
EQR-693C8E33F2,L,300.5,310.7,1383,47.6,140
EQR-102F68A7E3,M,302.0,310.7,1346,46.3,215
EQR-395F3958D0,M,303.9,313.3,1411,46.9,56
EQR-8A93BAAA0B,M,300.8,311.0,1538,36.7,130
EQR-92A90EB197,L,300.0,309.1,1534,38.3,33
EQR-27845139B5,L,299.0,309.4,1689,32.1,77
EQR-F097FFBA2B,L,298.2,308.3,1337,47.0,86
EQR-6970E21D5C,L,303.5,310.6,1350,53.5,107
EQR-7182C40BB0,L,300.9,311.0,1703,26.5,144
EQR-CB79CD8398,L,298.1,308.5,1668,34.7,22
EQR-F6DE683345,L,300.3,310.7,1432,45.5,89
EQR-564A6BFE3F,M,298.2,309.6,1459,44.4,84
EQR-FA7512454D,H,299.2,309.9,1581,36.8,37
EQR-9B78E29BDB,H,303.7,313.3,1642,36.6,103
EQR-79A8AA1EED,L,301.4,310.7,1731,37.7,21
EQR-4D78E55F79,L,302.5,310.7,1651,34.8,218
EQR-F6089EB557,L,295.6,306.3,1709,33.1,138
EQR-D8B4710BA1,H,299.2,310.5,1254,62.2,91
EQR-5629DFFAE5,L,302.6,311.7,1680,40.0,0
EQR-1C567E468A,L,300.2,309.0,1535,35.9,20
EQR-7DEB94B1E8,L,300.3,310.0,1487,37.0,110
EQR-A9C6C565F6,L,298.2,309.7,1590,33.5,226
EQR-06DE75EE3A,L,300.3,310.5,1462,46.9,114
EQR-18584874F8,M,298.2,308.6,1623,30.2,119
EQR-0E54C7AED4,M,300.8,311.2,1568,36.1,139
EQR-E76590BF11,M,299.1,309.6,1392,44.5,25
EQR-262BA9FD73,L,299.2,309.0,1433,46.2,41
EQR-2352DC7A48,L,300.7,310.5,1446,38.1,58
EQR-99AD15AD90,L,301.2,310.6,1789,27.0,151
EQR-D91EC632A2,M,298.2,308.3,1483,36.2,113
EQR-A115149319,L,300.7,309.2,1527,40.8,119
EQR-D2CA11B7D2,M,297.7,309.2,1621,38.0,28
EQR-D58C8FD88D,L,301.0,310.0,1555,37.7,200
EQR-2450483840,M,299.1,310.0,1469,38.5,109
EQR-06A66E641C,H,300.7,310.4,1488,35.5,138
EQR-7167178A35,L,297.5,307.8,1552,37.2,159
EQR-4DAB07A79E,L,298.2,307.6,1628,31.8,100
EQR-A492994D80,M,302.2,311.4,1540,36.9,114
EQR-6865B0DD31,L,301.2,311.0,1517,39.7,65
EQR-E04D240043,L,300.5,310.2,1435,44.3,15
EQR-BAD5597DD1,L,297.9,308.5,1589,39.4,170
EQR-AB694001D2,L,297.9,309.4,1791,28.8,68
EQR-AB2773237D,M,297.2,308.8,1551,35.5,14
EQR-25F94E79DC,L,299.8,308.6,1450,44.4,34
EQR-D5BDBD1935,M,300.1,310.8,1717,24.8,197
EQR-D45BE5F4B4,L,299.1,310.1,1372,49.8,87
EQR-9081BA7E2A,L,297.3,307.8,1641,22.6,75
EQR-4D882E3649,L,301.3,311.9,1527,43.1,86
EQR-5BCAEF7326,L,297.4,308.3,1527,37.1,43
EQR-7043C26B66,L,299.5,310.1,1539,41.0,44
EQR-D2E6C0E6CC,L,300.7,310.1,1351,51.3,40
EQR-9240EF5749,M,302.4,311.6,1558,42.4,21
EQR-BA01D2C7E4,L,299.0,310.0,1560,32.7,184
EQR-B178B1BDDC,L,297.1,307.8,1790,28.1,71
EQR-DFDF813489,L,300.0,309.3,1713,36.3,198
EQR-F936CD452C,L,298.3,310.4,1275,61.9,187
EQR-4C4E28946C,L,297.7,308.6,1605,24.9,215
EQR-371AAAB53B,L,304.2,313.6,1559,39.2,111
EQR-17F99315DA,M,297.2,308.4,1505,39.6,158
EQR-0A712501A2,M,298.2,308.7,1711,28.9,75
EQR-F04068CCB7,L,302.4,311.8,1505,37.2,38
EQR-80D596D283,L,301.6,310.8,1577,30.8,91
EQR-307631BDE2,M,300.6,309.4,1715,24.9,205
EQR-3AE455A12B,L,302.5,311.2,1446,39.5,129
EQR-F683887071,M,299.1,309.1,1380,54.8,174
EQR-C4A32B3A1E,H,299.5,308.9,1419,44.7,166
EQR-F44BC5909A,M,300.6,309.8,1401,47.0,186
EQR-23487CF200,L,299.4,309.5,1430,41.2,115
EQR-8C35AF57C5,M,299.9,309.7,1403,40.3,94
EQR-43A2844F76,M,297.3,308.2,1384,50.0,57
EQR-49BFFD6E08,L,298.3,308.6,1469,51.2,109
EQR-85ADB7378B,L,302.3,310.9,1309,61.0,140
EQR-E61423F1C9,L,301.2,310.3,1465,38.2,66
EQR-DEFF7B7A35,L,302.2,311.2,1463,51.2,37
EQR-BF80ACB983,L,301.0,311.1,1402,49.8,23
EQR-A4BD15C877,M,300.6,309.2,1655,32.9,75
EQR-477E9F1924,L,297.4,307.9,1494,40.3,129
EQR-8722F5D53E,L,301.3,310.6,1497,40.3,138
EQR-B78C650BFA,L,301.0,310.5,1471,45.1,15
EQR-54DE3ECB96,L,303.5,312.8,1403,45.9,189
EQR-88FFB23289,L,298.1,310.6,1602,28.4,34
EQR-9114914801,H,300.2,311.0,1546,39.1,116
EQR-7D230883F0,L,299.1,310.1,1405,45.3,77
EQR-5E6B26C4CD,L,302.0,311.1,2256,16.2,180
EQR-6D6EEC0D85,L,298.8,310.2,1734,28.8,187
EQR-9620A96031,L,302.2,312.5,1403,50.3,7
EQR-F71C9D4A6B,L,301.8,310.8,1646,30.8,209
EQR-501C9E460A,L,303.7,313.3,1478,44.7,135
EQR-0199A1297E,L,300.6,309.5,1436,47.0,11
EQR-5EDCD6880F,L,297.4,308.5,1528,42.8,7
EQR-7048AD9B5F,L,297.3,307.3,1521,41.6,134
EQR-F48C38BE77,L,302.3,311.2,2055,18.9,23
EQR-D85A36A5C8,L,302.9,311.9,1501,42.4,152
EQR-FB97316065,M,300.4,311.1,1722,25.4,15
EQR-EECFEA5539,M,299.3,307.7,1519,40.1,0
EQR-A4279AAE10,L,301.4,311.5,1679,27.9,28
EQR-7B87E9A89E,M,301.9,311.6,1615,32.5,67
EQR-978C14568B,L,297.5,308.7,1590,41.6,39
EQR-2B2D9BFB09,L,303.9,312.9,1542,39.6,139
EQR-2DE9B3EF7F,L,304.0,312.5,1336,51.8,188
EQR-59CA7A36C8,M,298.9,309.7,1773,31.5,131
EQR-49EE376A40,L,297.9,307.6,1674,31.0,36
EQR-AD530657DC,L,300.9,310.7,1642,40.9,132
EQR-27ABFF120A,L,299.2,309.8,1713,28.7,13
EQR-03436002B5,L,304.2,312.2,1387,51.0,55
EQR-C68658A239,H,301.4,310.0,1451,44.2,42
EQR-2F727EC5F3,H,298.1,308.6,1620,35.3,117
EQR-08AB6D1F7A,L,299.5,309.3,1467,44.1,160
EQR-AB32B7DB56,L,296.9,306.7,1729,27.2,45
