Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity
SC2-01,2022-10-02 20:00:00,3.9,523.0,129.0,18.6,59.7,1.4591
SC2-01,2022-10-02 21:00:00,3.8,508.0,119.0,17.9,62.5,1.4975
SC2-01,2022-10-02 22:00:00,4.0,501.0,120.0,17.6,60.9,1.4606
SC2-01,2022-10-02 23:00:00,3.3,464.0,116.0,15.3,67.1,1.4431
SC2-01,2022-10-03 00:00:00,,379.0,95.0,15.0,65.9,
SC2-01,2022-10-03 01:00:00,2.6,303.0,76.0,14.9,69.9,1.458
SC2-01,2022-10-03 02:00:00,2.2,240.0,68.0,13.6,70.2,1.4263
SC2-01,2022-10-03 03:00:00,1.9,217.0,73.0,12.4,70.1,1.3903
SC2-01,2022-10-03 04:00:00,1.6,195.0,55.0,12.3,68.8,1.373
SC2-01,2022-10-03 05:00:00,1.0,175.0,49.0,12.1,70.2,1.3334
SC2-01,2022-10-03 06:00:00,1.5,253.0,65.0,13.3,68.5,1.3468
SC2-01,2022-10-03 07:00:00,2.5,331.0,89.0,13.8,69.3,1.3825
SC2-01,2022-10-03 08:00:00,3.5,401.0,92.0,15.3,67.2,1.4276
SC2-01,2022-10-03 09:00:00,4.0,457.0,90.0,17.1,62.0,1.4184
SC2-01,2022-10-03 10:00:00,4.0,488.0,91.0,19.9,55.1,1.4064
SC2-01,2022-10-03 11:00:00,3.8,443.0,,22.3,54.0,1.4476
SC2-01,2022-10-03 12:00:00,3.4,394.0,84.0,23.8,51.8,1.4643
SC2-01,2022-10-03 13:00:00,3.1,373.0,60.0,25.5,50.4,1.5062
SC2-01,2022-10-03 14:00:00,2.4,294.0,36.0,25.3,52.8,1.5026
SC2-01,2022-10-03 15:00:00,3.0,381.0,48.0,27.4,50.6,1.5666
SC2-01,2022-10-03 16:00:00,3.0,379.0,54.0,27.5,52.5,1.5971
SC2-01,2022-10-03 17:00:00,3.6,431.0,81.0,27.1,50.9,1.5867
SC2-01,2022-10-03 18:00:00,4.4,500.0,97.0,25.2,52.3,1.5921
SC2-01,2022-10-03 19:00:00,4.8,519.0,110.0,24.6,57.0,1.6315
SC2-01,2022-10-03 20:00:00,4.6,,116.0,23.1,62.4,1.6235
SC2-01,2022-10-03 21:00:00,3.4,451.0,110.0,23.1,67.4,1.6606
SC2-01,2022-10-03 22:00:00,2.0,344.0,82.0,22.6,67.7,1.6546
SC2-01,2022-10-03 23:00:00,2.4,357.0,94.0,20.2,67.5,1.6004
SC2-01,2022-10-04 00:00:00,2.3,326.0,62.0,18.7,72.3,1.5861
SC2-01,2022-10-04 01:00:00,2.8,311.0,58.0,18.8,78.9,1.6965
SC2-01,2022-10-04 02:00:00,,201.0,23.0,17.5,80.9,1.6726
SC2-01,2022-10-04 03:00:00,1.5,149.0,23.0,17.8,83.0,1.7161
SC2-01,2022-10-04 04:00:00,1.0,38.0,1.0,18.2,82.0,1.7204
SC2-01,2022-10-04 05:00:00,1.3,85.0,1.0,18.4,82.6,1.71
SC2-01,2022-10-04 06:00:00,1.9,171.0,20.0,17.5,86.0,1.696
SC2-01,2022-10-04 07:00:00,2.2,216.0,42.0,18.8,83.0,1.7152
SC2-01,2022-10-04 08:00:00,3.2,314.0,79.0,3.305653247928385,,1.6207
SC2-01,2022-10-04 09:00:00,3.2,415.0,87.0,,74.0,1.6722
SC2-01,2022-10-04 10:00:00,3.2,395.0,91.0,22.7,59.5,1.6135
SC2-01,2022-10-04 11:00:00,3.2,448.0,103.0,24.4,55.9,1.6158
SC2-01,2022-10-04 12:00:00,3.8,457.0,111.0,25.9,53.8,1.6029
SC2-01,2022-10-04 13:00:00,2.7,329.0,100.0,25.2,53.2,1.5361
SC2-01,2022-10-04 14:00:00,1.7,210.0,78.0,24.6,49.7,1.4673
SC2-01,2022-10-04 15:00:00,2.6,365.0,93.0,25.7,54.1,1.5147
SC2-01,2022-10-04 16:00:00,2.8,344.0,86.0,26.4,52.1,1.532
SC2-01,2022-10-04 17:00:00,3.9,426.0,88.0,24.9,56.7,1.5232
SC2-01,2022-10-04 18:00:00,4.4,421.0,98.0,22.3,59.1,1.4914
SC2-01,2022-10-04 19:00:00,5.2,536.0,110.0,21.7,58.9,1.5189
SC2-01,2022-10-04 20:00:00,5.0,503.0,,21.3,66.0,1.6584
SC2-01,2022-10-04 21:00:00,3.2,420.0,83.0,20.2,66.7,1.6832
SC2-01,2022-10-04 22:00:00,2.1,256.0,47.0,19.5,67.0,1.6974
SC2-01,2022-10-04 23:00:00,2.1,198.0,34.0,18.6,71.7,1.7093
SC2-01,2022-10-05 00:00:00,1.7,178.0,41.0,17.5,71.2,1.6743
SC2-01,2022-10-05 01:00:00,2.2,198.0,45.0,16.7,68.5,1.6275
SC2-01,2022-10-05 02:00:00,2.4,224.0,31.0,16.8,67.6,1.616
SC2-01,2022-10-05 03:00:00,2.9,271.0,58.0,15.1,68.4,1.5692
SC2-01,2022-10-05 04:00:00,2.5,270.0,48.0,12.4,70.4,1.4977
SC2-01,2022-10-05 05:00:00,1.8,295.0,50.0,13.0,67.7,1.4684
SC2-01,2022-10-05 06:00:00,2.1,336.0,78.0,12.4,71.4,1.4918
SC2-01,2022-10-05 07:00:00,3.7,486.0,117.0,12.2,76.1,1.5024
SC2-01,2022-10-05 08:00:00,4.7,570.0,133.0,13.9,70.9,1.5183
SC2-01,2022-10-05 09:00:00,,636.0,145.0,15.6,67.2,1.5754
SC2-01,2022-10-05 10:00:00,3.9,557.0,153.0,17.6,,1.5091
SC2-01,2022-10-05 11:00:00,4.8,,167.0,19.9,56.1,1.5349
SC2-01,2022-10-05 12:00:00,3.7,606.0,149.0,22.8,51.4,1.5652
SC2-01,2022-10-05 13:00:00,3.6,532.0,129.0,22.0,52.7,1.5153
SC2-01,2022-10-05 14:00:00,3.1,458.0,114.0,22.5,50.1,1.4684
SC2-01,2022-10-05 15:00:00,2.3,376.0,93.0,23.7,,1.5145
SC2-01,2022-10-05 16:00:00,2.2,303.0,68.0,24.7,51.7,1.5505
SC2-01,2022-10-05 17:00:00,2.7,324.0,66.0,24.2,49.2,1.5173
SC2-01,2022-10-05 18:00:00,4.2,507.0,100.0,21.8,56.3,1.5384
SC2-01,2022-10-05 19:00:00,4.7,532.0,91.0,,55.6,1.5243
SC2-01,2022-10-05 20:00:00,4.7,448.0,97.0,20.8,57.0,1.5318
SC2-01,2022-10-05 21:00:00,3.5,337.0,81.0,21.1,59.0,1.5936
SC2-01,2022-10-05 22:00:00,2.9,242.0,60.0,19.5,58.7,1.5882
SC2-01,2022-10-05 23:00:00,2.0,155.0,38.0,18.3,60.4,1.5621
SC2-01,2022-10-06 00:00:00,1.5,74.0,12.0,18.1,64.0,1.5893
SC2-01,2022-10-06 01:00:00,0.2,1.0,1.0,18.1,59.9,1.5282
SC2-01,2022-10-06 02:00:00,1.1,37.0,1.0,19.5,55.7,1.5017
SC2-01,2022-10-06 03:00:00,1.4,21.0,6.0,18.7,54.5,1.4801
SC2-01,2022-10-06 04:00:00,1.3,5.0,2.0,18.3,54.5,1.4258
SC2-01,2022-10-06 05:00:00,0.4,1.0,1.0,19.1,54.3,1.4583
SC2-01,2022-10-06 06:00:00,1.2,14.0,10.0,19.9,51.8,1.473
SC2-01,2022-10-06 07:00:00,2.3,209.0,61.0,21.5,48.1,1.5074
SC2-01,2022-10-06 08:00:00,2.8,252.0,63.0,23.2,47.6,1.5644
SC2-01,2022-10-06 09:00:00,3.7,331.0,81.0,25.1,48.5,1.6067
SC2-01,2022-10-06 10:00:00,2.0,181.0,55.0,27.5,40.5,1.5331
SC2-01,2022-10-06 11:00:00,1.8,173.0,47.0,29.3,38.5,1.5292
SC2-01,2022-10-06 12:00:00,1.9,140.0,33.0,29.4,40.2,1.5344
SC2-01,2022-10-06 13:00:00,1.4,46.0,4.0,29.1,40.7,1.5158
SC2-01,2022-10-06 14:00:00,1.8,40.0,1.0,28.8,44.1,1.5377
SC2-01,2022-10-06 15:00:00,1.2,1.0,1.0,28.4,46.7,1.5352
SC2-01,2022-10-06 16:00:00,1.0,29.0,1.0,27.7,50.7,1.5667
SC2-01,2022-10-06 17:00:00,1.9,120.0,26.0,29.1,55.2,1.6889
SC2-01,2022-10-06 18:00:00,1.8,42.0,25.0,27.5,,1.7306
SC2-01,2022-10-06 19:00:00,2.3,96.0,40.0,25.3,64.9,
SC2-01,2022-10-06 20:00:00,2.1,126.0,47.0,26.0,68.1,1.7916
SC2-01,2022-10-06 21:00:00,2.4,180.0,56.0,25.3,68.8,1.7875
SC2-01,2022-10-06 22:00:00,2.6,221.0,61.0,24.5,67.7,1.7372
SC2-01,2022-10-06 23:00:00,2.9,220.0,64.0,23.7,71.6,1.7402
SC2-01,2022-10-07 00:00:00,2.5,170.0,50.0,22.6,75.3,1.7522
SC2-01,2022-10-07 01:00:00,3.6,208.0,69.0,23.0,77.1,1.7564
SC2-01,2022-10-07 02:00:00,2.9,173.0,61.0,21.9,81.8,1.7497
SC2-01,2022-10-07 03:00:00,2.9,128.0,45.0,22.4,86.5,1.8608
SC2-01,2022-10-07 04:00:00,2.4,156.0,38.0,22.4,87.7,1.8573
SC2-01,2022-10-07 05:00:00,2.3,137.0,32.0,23.1,83.3,1.8678
SC2-01,2022-10-07 06:00:00,1.6,73.0,38.0,23.4,81.9,
SC2-01,2022-10-07 07:00:00,2.3,174.0,53.0,23.2,83.7,1.9016
SC2-01,2022-10-07 08:00:00,3.7,298.0,70.0,22.5,76.0,1.7978
SC2-01,2022-10-07 09:00:00,3.6,328.0,84.0,22.9,71.6,1.7615
SC2-01,2022-10-07 10:00:00,2.1,234.0,59.0,24.8,62.6,1.7536
SC2-01,2022-10-07 11:00:00,2.9,243.0,69.0,27.6,56.9,1.7745
SC2-01,2022-10-07 12:00:00,2.6,176.0,54.0,28.3,56.7,1.7545
SC2-01,2022-10-07 13:00:00,2.5,198.0,48.0,29.0,59.1,1.7792
SC2-01,2022-10-07 14:00:00,2.2,209.0,52.0,,57.8,1.7643
SC2-01,2022-10-07 15:00:00,1.8,107.0,46.0,29.2,54.5,1.7657
SC2-01,2022-10-07 16:00:00,2.4,221.0,75.0,30.5,47.5,
SC2-01,2022-10-07 17:00:00,3.5,308.0,103.0,29.9,48.7,1.73
SC2-01,2022-10-07 18:00:00,4.7,438.0,126.0,27.9,51.2,1.7126
SC2-01,2022-10-07 19:00:00,5.4,554.0,145.0,25.6,55.0,1.7162
SC2-01,2022-10-07 20:00:00,6.1,703.0,161.0,23.4,61.9,1.7255
SC2-01,2022-10-07 21:00:00,5.0,653.0,132.0,22.7,64.5,1.727
SC2-01,2022-10-07 22:00:00,5.5,661.0,129.0,22.7,72.7,1.8252
SC2-01,2022-10-07 23:00:00,5.0,569.0,116.0,21.4,79.8,1.8457
SC2-01,2022-10-08 00:00:00,4.7,511.0,104.0,20.4,77.7,1.8363
SC2-01,2022-10-08 01:00:00,4.0,516.0,104.0,21.4,73.1,1.8189
SC2-01,2022-10-08 02:00:00,3.7,452.0,80.0,20.5,74.9,1.8138
SC2-01,2022-10-08 03:00:00,3.3,411.0,71.0,19.2,76.8,1.7754
SC2-01,2022-10-08 04:00:00,2.2,261.0,,19.1,76.7,1.7566
SC2-01,2022-10-08 05:00:00,2.0,224.0,32.0,19.0,76.8,1.7622
SC2-01,2022-10-08 06:00:00,2.5,289.0,51.0,18.8,77.4,1.733
SC2-01,2022-10-08 07:00:00,3.3,334.0,69.0,19.4,77.7,1.7686
SC2-01,2022-10-08 08:00:00,4.3,496.0,97.0,18.7,71.3,1.6597
SC2-01,2022-10-08 09:00:00,3.9,477.0,112.0,20.7,63.2,1.6339
SC2-01,2022-10-08 10:00:00,4.1,462.0,118.0,22.4,55.4,1.5972
SC2-01,2022-10-08 11:00:00,3.9,409.0,114.0,25.2,43.9,1.485
SC2-01,2022-10-08 12:00:00,4.4,413.0,112.0,26.6,43.8,1.4984
SC2-01,2022-10-08 13:00:00,4.9,438.0,109.0,28.0,41.7,1.4951
SC2-01,2022-10-08 14:00:00,4.7,498.0,133.0,26.5,43.6,1.452
SC2-01,2022-10-08 15:00:00,5.1,591.0,140.0,26.0,47.9,1.474
SC2-01,2022-10-08 16:00:00,4.8,581.0,153.0,23.6,50.4,1.3839
SC2-01,2022-10-08 17:00:00,5.2,620.0,170.0,22.5,46.2,1.3227
SC2-01,2022-10-08 18:00:00,5.2,546.0,167.0,23.3,47.8,1.4198
SC2-01,2022-10-08 19:00:00,5.6,579.0,164.0,22.3,51.6,1.4774
SC2-01,2022-10-08 20:00:00,5.5,621.0,174.0,20.3,55.1,1.4704
SC2-01,2022-10-08 21:00:00,3.0,376.0,124.0,18.7,57.8,1.4808
SC2-01,2022-10-08 22:00:00,2.4,357.0,98.0,17.7,56.4,1.3942
SC2-01,2022-10-08 23:00:00,2.6,311.0,82.0,18.4,50.8,1.343
SC2-01,2022-10-09 00:00:00,3.0,359.0,109.0,18.6,47.2,1.295
SC2-01,2022-10-09 01:00:00,2.0,,62.0,18.2,53.1,1.3088
SC2-01,2022-10-09 02:00:00,1.2,193.0,40.0,17.5,58.2,1.3208
SC2-01,2022-10-09 03:00:00,1.0,194.0,19.0,17.9,59.2,1.3448
SC2-01,2022-10-09 04:00:00,0.9,195.0,35.0,18.0,57.3,1.3342
SC2-01,2022-10-09 05:00:00,,188.0,54.0,16.5,65.1,1.3786
SC2-01,2022-10-09 06:00:00,1.6,174.0,58.0,17.3,,
SC2-01,2022-10-09 07:00:00,2.7,322.0,95.0,18.1,61.5,1.4154
SC2-01,2022-10-09 08:00:00,4.1,459.0,131.0,20.9,59.0,1.4528
SC2-01,2022-10-09 09:00:00,4.8,538.0,153.0,21.7,58.2,1.4914
SC2-01,2022-10-09 10:00:00,3.9,499.0,166.0,24.8,48.6,1.4859
SC2-01,2022-10-09 11:00:00,4.2,559.0,179.0,25.7,45.5,1.4629
SC2-01,2022-10-09 12:00:00,3.4,467.0,160.0,27.4,37.7,1.4048
SC2-01,2022-10-09 13:00:00,3.6,467.0,172.0,28.6,26.7,1.3192
SC2-01,2022-10-09 14:00:00,3.6,460.0,153.0,28.9,27.9,1.3589
SC2-01,2022-10-09 15:00:00,2.9,439.0,149.0,29.2,34.1,1.4381
SC2-01,2022-10-09 16:00:00,3.3,488.0,152.0,29.8,37.3,1.49
SC2-01,2022-10-09 17:00:00,3.7,467.0,154.0,28.5,40.6,1.5025
SC2-01,2022-10-09 18:00:00,3.8,473.0,,27.7,44.8,1.5768
SC2-01,2022-10-09 19:00:00,3.2,402.0,146.0,27.1,45.0,1.5984
SC2-01,2022-10-09 20:00:00,3.2,306.0,138.0,25.8,47.7,1.5844
SC2-01,2022-10-09 21:00:00,2.3,130.0,106.0,24.7,48.6,1.5829
SC2-01,2022-10-09 22:00:00,1.7,144.0,109.0,22.8,,1.5581
SC2-01,2022-10-09 23:00:00,1.6,101.0,,21.2,59.9,1.5517
SC2-01,2022-10-10 00:00:00,2.0,120.0,100.0,20.8,61.7,1.5378
SC2-01,2022-10-10 01:00:00,1.4,128.0,87.0,20.6,60.2,1.4902
SC2-01,2022-10-10 02:00:00,1.3,129.0,80.0,19.6,63.5,1.5035
SC2-01,2022-10-10 03:00:00,1.9,138.0,90.0,19.9,69.3,1.5857
SC2-01,2022-10-10 04:00:00,2.5,163.0,85.0,19.6,72.8,1.615
SC2-01,2022-10-10 05:00:00,3.5,301.0,84.0,20.1,75.3,1.6529
SC2-01,2022-10-10 06:00:00,3.2,311.0,96.0,19.5,78.8,1.7019
SC2-01,2022-10-10 07:00:00,3.6,362.0,111.0,19.0,80.1,1.6932
SC2-01,2022-10-10 08:00:00,4.1,439.0,128.0,,70.5,1.62
SC2-01,2022-10-10 09:00:00,3.9,383.0,106.0,20.0,71.9,1.6405
SC2-01,2022-10-10 10:00:00,3.5,446.0,122.0,21.5,59.1,1.5442
SC2-01,2022-10-10 11:00:00,4.4,596.0,157.0,23.7,51.7,1.4921
SC2-01,2022-10-10 12:00:00,4.5,,166.0,24.0,48.9,1.4427
SC2-01,2022-10-10 13:00:00,4.5,546.0,168.0,25.5,50.2,1.5075
SC2-01,2022-10-10 14:00:00,3.7,400.0,130.0,26.0,43.9,1.4489
SC2-01,2022-10-10 15:00:00,3.3,345.0,148.0,26.4,42.1,1.4429
SC2-01,2022-10-10 16:00:00,3.6,326.0,158.0,25.7,42.6,1.4433
SC2-01,2022-10-10 17:00:00,4.1,356.0,158.0,25.0,43.4,1.4194
SC2-01,2022-10-10 18:00:00,5.4,447.0,179.0,24.1,44.6,1.4449
SC2-01,2022-10-10 19:00:00,6.0,512.0,186.0,22.4,49.4,1.4442
SC2-01,2022-10-10 20:00:00,4.7,368.0,146.0,21.5,42.3,1.3552
SC2-01,2022-10-10 21:00:00,2.5,191.0,100.0,19.6,45.9,
SC2-01,2022-10-10 22:00:00,2.1,123.0,73.0,18.8,44.4,1.2951
SC2-01,2022-10-10 23:00:00,1.3,52.0,49.0,17.3,44.3,1.2368
SC2-01,2022-10-11 00:00:00,1.0,1.0,20.0,17.6,45.2,1.2353
SC2-01,2022-10-11 01:00:00,1.2,1.0,18.0,17.1,46.4,1.2331
SC2-01,2022-10-11 02:00:00,1.1,1.0,16.0,14.6,47.5,1.107
SC2-01,2022-10-11 03:00:00,0.8,1.0,1.0,13.5,49.4,1.0836
SC2-01,2022-10-11 04:00:00,0.9,1.0,1.0,13.1,52.2,1.115
SC2-01,2022-10-11 05:00:00,1.8,1.0,1.0,13.1,61.1,1.1941
SC2-01,2022-10-11 06:00:00,3.1,83.0,4.0,12.7,61.7,1.1872
SC2-01,2022-10-11 07:00:00,4.2,280.0,40.0,12.8,63.0,1.2115
SC2-01,2022-10-11 08:00:00,,398.0,58.0,13.2,61.9,1.2311
SC2-01,2022-10-11 09:00:00,6.0,483.0,95.0,15.9,59.6,1.2694
SC2-01,2022-10-11 10:00:00,4.8,488.0,108.0,18.6,52.4,
SC2-01,2022-10-11 11:00:00,4.2,503.0,108.0,20.3,47.5,1.2435
SC2-01,2022-10-11 12:00:00,3.9,440.0,102.0,22.6,48.6,1.297
SC2-01,2022-10-11 13:00:00,4.4,412.0,82.0,23.3,45.0,1.278
SC2-01,2022-10-11 14:00:00,4.0,278.0,54.0,22.9,45.1,1.2515
SC2-01,2022-10-11 15:00:00,4.1,295.0,47.0,23.0,46.0,1.2718
SC2-01,2022-10-11 16:00:00,4.0,717.844024152507,68.0,23.1,48.9,1.3201
SC2-01,2022-10-11 17:00:00,3.9,540.4683338435352,88.0,22.4,48.2,1.2713
SC2-01,2022-10-11 18:00:00,4.1,63.674553001194624,88.0,20.8,45.1,1.1917
SC2-01,2022-10-11 19:00:00,4.7,460.0,89.0,19.7,54.5,1.2876
SC2-01,2022-10-11 20:00:00,3.7,416.0,82.0,19.3,57.1,1.3382
SC2-01,2022-10-11 21:00:00,2.1,329.0,67.0,18.4,58.3,1.3146
SC2-01,2022-10-11 22:00:00,1.5,155.0,29.0,17.7,61.1,1.3001
SC2-01,2022-10-11 23:00:00,2.0,175.0,25.0,19.1,58.9,1.3128
SC2-01,2022-10-12 00:00:00,2.6,198.0,32.0,18.3,72.4,1.4474
SC2-01,2022-10-12 01:00:00,3.4,258.0,44.0,18.6,73.6,1.4701
SC2-01,2022-10-12 02:00:00,2.2,99.0,1.0,17.3,73.0,1.4444
SC2-01,2022-10-12 03:00:00,1.8,81.0,5.0,18.9,74.4,1.529
SC2-01,2022-10-12 04:00:00,2.9,219.0,4.0,17.5,74.5,1.493
SC2-01,2022-10-12 05:00:00,3.2,206.0,1.0,16.7,76.6,1.5055
SC2-01,2022-10-12 06:00:00,4.1,262.0,42.0,16.2,78.7,1.5247
SC2-01,2022-10-12 07:00:00,3.9,287.0,59.0,16.8,79.5,1.588
SC2-01,2022-10-12 08:00:00,5.3,,104.0,19.3,79.6,1.7023
SC2-01,2022-10-12 09:00:00,5.2,424.0,125.0,21.2,71.6,1.6943
SC2-01,2022-10-12 10:00:00,5.3,526.0,156.0,24.5,63.2,1.7095
SC2-01,2022-10-12 11:00:00,5.5,494.0,-0.828070774127478,27.0,61.3,1.7783
SC2-01,2022-10-12 12:00:00,4.6,412.0,,28.0,54.9,1.7007
SC2-01,2022-10-12 13:00:00,4.4,388.0,119.0,30.1,51.5,1.7209
SC2-01,2022-10-12 14:00:00,4.8,394.0,137.0,29.8,45.4,1.6198
SC2-01,2022-10-12 15:00:00,3.9,330.0,123.0,29.6,42.4,1.5832
SC2-01,2022-10-12 16:00:00,2.8,207.0,109.0,29.0,38.9,1.5182
SC2-01,2022-10-12 17:00:00,4.7,428.0,144.0,28.3,42.1,1.5558
SC2-01,2022-10-12 18:00:00,5.7,560.0,169.0,26.8,50.2,1.6251
SC2-01,2022-10-12 19:00:00,4.8,504.0,164.0,24.4,54.6,1.6461
SC2-01,2022-10-12 20:00:00,4.6,434.0,154.0,22.8,60.6,1.6561
SC2-01,2022-10-12 21:00:00,2.9,291.0,130.0,22.0,64.5,1.6772
SC2-01,2022-10-12 22:00:00,2.4,203.0,101.0,21.7,68.9,1.6907
SC2-01,2022-10-12 23:00:00,2.2,200.0,95.0,21.1,69.4,1.675
SC2-01,2022-10-13 00:00:00,2.1,193.0,104.0,21.8,72.2,1.7286
SC2-01,2022-10-13 01:00:00,1.7,120.0,91.0,22.7,74.3,1.8241
SC2-01,2022-10-13 02:00:00,2.4,94.0,92.0,22.2,77.9,1.8442
SC2-01,2022-10-13 03:00:00,1.1,21.0,74.0,21.7,75.5,1.8108
SC2-01,2022-10-13 04:00:00,0.9,1.0,32.0,21.4,69.7,1.7227
SC2-01,2022-10-13 05:00:00,0.0,1.0,18.0,20.4,66.2,1.6244
SC2-01,2022-10-13 06:00:00,0.2,1.0,28.0,19.7,69.8,1.6086
SC2-01,2022-10-13 07:00:00,0.6,6.0,71.0,20.7,65.1,1.5681
SC2-01,2022-10-13 08:00:00,2.2,244.0,101.0,21.1,67.7,1.6235
SC2-01,2022-10-13 09:00:00,2.7,296.0,113.0,22.5,61.6,1.6026
SC2-01,2022-10-13 10:00:00,2.5,273.0,120.0,23.4,52.2,1.4951
SC2-01,2022-10-13 11:00:00,2.9,348.0,127.0,25.9,42.3,1.4426
SC2-01,2022-10-13 12:00:00,2.3,212.0,105.0,27.1,38.5,1.4379
SC2-01,2022-10-13 13:00:00,1.6,125.0,79.0,26.3,38.3,1.4054
SC2-01,2022-10-13 14:00:00,1.7,109.0,96.0,26.9,39.1,1.4176
SC2-01,2022-10-13 15:00:00,1.9,168.0,96.0,28.4,34.0,1.4326
SC2-01,2022-10-13 16:00:00,3.0,339.0,121.0,29.4,34.3,1.5056
SC2-01,2022-10-13 17:00:00,2.7,287.0,109.0,28.8,,1.5373
SC2-01,2022-10-13 18:00:00,3.3,285.0,106.0,26.2,46.1,1.5264
SC2-01,2022-10-13 19:00:00,3.8,379.0,111.0,23.8,52.4,1.5458
SC2-01,2022-10-13 20:00:00,3.8136437440720594,358.0,135.0,22.9,50.3,1.4941
SC2-01,2022-10-13 21:00:00,2.427287488144119,280.0,118.0,,54.5,1.5075
SC2-01,2022-10-13 22:00:00,1.940931232216179,202.0,88.0,23.3,50.5,1.5469
SC2-01,2022-10-13 23:00:00,2.2545749762882386,235.0,95.0,21.4,58.9,1.5819
SC2-01,2022-10-14 00:00:00,2.168218720360298,227.0,,21.2,61.5,1.6426
SC2-01,2022-10-14 01:00:00,1.1818624644323579,83.0,52.0,20.0,62.7,1.6247
SC2-01,2022-10-14 02:00:00,1.2955062085044173,,,21.3,67.1,1.7147
SC2-01,2022-10-14 03:00:00,,1.0,1.0,22.4,67.5,1.7403
SC2-01,2022-10-14 04:00:00,1.6227936966485368,1.0,2.0,21.2,69.3,1.7375
